time_s,event,details,file
1.10066,DATA_RX_OK,"rx=11,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.10066,DATA_RX_OK,"rx=2,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.10066,DATA_RX_OK,"rx=3,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.10066,DATA_RX_OK,"rx=5,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.10066,DATA_RX_OK,"rx=8,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.10066,DATA_RX_OK,"rx=10,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.10066,DATA_RX_OK,"rx=4,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.10066,DATA_RX_OK,"rx=9,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.10066,DATA_RX_OK,"rx=7,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.10066,DATA_RX_OK,"rx=6,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.20066,DATA_RX_OK,"rx=11,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.20066,DATA_RX_OK,"rx=1,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.20066,DATA_RX_OK,"rx=2,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.20066,DATA_RX_OK,"rx=3,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.20066,DATA_RX_OK,"rx=5,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.20066,DATA_RX_OK,"rx=8,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.20066,DATA_RX_OK,"rx=10,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.20066,DATA_RX_OK,"rx=4,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.20066,DATA_RX_OK,"rx=9,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.20066,DATA_RX_OK,"rx=7,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.20066,DATA_RX_OK,"rx=6,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.30066,DATA_RX_OK,"rx=11,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.30066,DATA_RX_OK,"rx=1,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.30066,DATA_RX_OK,"rx=2,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.30066,DATA_RX_OK,"rx=3,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.30066,DATA_RX_OK,"rx=5,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.30066,DATA_RX_OK,"rx=8,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.30066,DATA_RX_OK,"rx=10,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.30066,DATA_RX_OK,"rx=4,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.30066,DATA_RX_OK,"rx=9,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.30066,DATA_RX_OK,"rx=7,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.30066,DATA_RX_OK,"rx=6,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.40066,DATA_RX_OK,"rx=11,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.40066,DATA_RX_OK,"rx=1,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.40066,DATA_RX_OK,"rx=2,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.40066,DATA_RX_OK,"rx=3,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.40066,DATA_RX_OK,"rx=5,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.40066,DATA_RX_OK,"rx=8,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.40066,DATA_RX_OK,"rx=10,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.40066,DATA_RX_OK,"rx=4,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.40066,DATA_RX_OK,"rx=9,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.40066,DATA_RX_OK,"rx=7,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.40066,DATA_RX_OK,"rx=6,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.50066,DATA_RX_OK,"rx=11,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.50066,DATA_RX_OK,"rx=1,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.50066,DATA_RX_OK,"rx=2,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.50066,DATA_RX_OK,"rx=3,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.50066,DATA_RX_OK,"rx=5,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.50066,DATA_RX_OK,"rx=8,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.50066,DATA_RX_OK,"rx=10,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.50066,DATA_RX_OK,"rx=4,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.50066,DATA_RX_OK,"rx=9,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.50066,DATA_RX_OK,"rx=7,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.50066,DATA_RX_OK,"rx=6,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.60066,DATA_RX_OK,"rx=11,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.60066,DATA_RX_OK,"rx=1,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.60066,DATA_RX_OK,"rx=2,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.60066,DATA_RX_OK,"rx=3,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.60066,DATA_RX_OK,"rx=5,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.60066,DATA_RX_OK,"rx=8,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.60066,DATA_RX_OK,"rx=10,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.60066,DATA_RX_OK,"rx=4,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.60066,DATA_RX_OK,"rx=9,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.60066,DATA_RX_OK,"rx=7,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.60066,DATA_RX_OK,"rx=6,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.70066,DATA_RX_OK,"rx=11,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.70066,DATA_RX_OK,"rx=1,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.70066,DATA_RX_OK,"rx=2,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.70066,DATA_RX_OK,"rx=3,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.70066,DATA_RX_OK,"rx=5,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.70066,DATA_RX_OK,"rx=8,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.70066,DATA_RX_OK,"rx=10,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.70066,DATA_RX_OK,"rx=4,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.70066,DATA_RX_OK,"rx=9,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.70066,DATA_RX_OK,"rx=7,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.70066,DATA_RX_OK,"rx=6,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.80066,DATA_RX_OK,"rx=11,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.80066,DATA_RX_OK,"rx=1,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.80066,DATA_RX_OK,"rx=2,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.80066,DATA_RX_OK,"rx=5,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.80066,DATA_RX_OK,"rx=3,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.80066,DATA_RX_OK,"rx=8,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.80066,DATA_RX_OK,"rx=10,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.80066,DATA_RX_OK,"rx=4,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.80066,DATA_RX_OK,"rx=7,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.80066,DATA_RX_OK,"rx=9,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.80066,DATA_RX_OK,"rx=6,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.90066,DATA_RX_OK,"rx=11,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.90066,DATA_RX_OK,"rx=1,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.90066,DATA_RX_OK,"rx=2,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.90066,DATA_RX_OK,"rx=5,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.90066,DATA_RX_OK,"rx=3,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.90066,DATA_RX_OK,"rx=8,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.90066,DATA_RX_OK,"rx=10,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.90066,DATA_RX_OK,"rx=4,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.90066,DATA_RX_OK,"rx=7,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.90066,DATA_RX_OK,"rx=9,sender=0,delay_s=0.000662",bc_events_m0.2.csv
1.90066,DATA_RX_OK,"rx=6,sender=0,delay_s=0.000662",bc_events_m0.2.csv
2,REPLAY_SENT,nonce=1900000000,bc_events_m0.2.csv
2,REPORT_SENT,"by=0,about=7,delta=0.020000",bc_events_m0.2.csv
2,REPORT_SENT,"by=1,about=3,delta=0.020000",bc_events_m0.2.csv
2,REPORT_SENT,"by=2,about=5,delta=0.020000",bc_events_m0.2.csv
2,REPORT_SENT,"by=3,about=8,delta=-0.050000",bc_events_m0.2.csv
2,REPORT_SENT,"by=4,about=0,delta=0.020000",bc_events_m0.2.csv
2,REPORT_SENT,"by=5,about=5,delta=-0.050000",bc_events_m0.2.csv
2,REPORT_SENT,"by=6,about=4,delta=-0.050000",bc_events_m0.2.csv
2,REPORT_SENT,"by=7,about=2,delta=0.020000",bc_events_m0.2.csv
2,REPORT_SENT,"by=8,about=1,delta=-0.050000",bc_events_m0.2.csv
2,REPORT_SENT,"by=9,about=4,delta=0.020000",bc_events_m0.2.csv
2.00019,REPORT_RX_RSU,"rsu=10,by=4,about=0,delta=0.020000",bc_events_m0.2.csv
2.00047,REPORT_RX_RSU,"rsu=10,by=5,about=5,delta=-0.050000",bc_events_m0.2.csv
2.00067,REPORT_RX_RSU,"rsu=10,by=0,about=7,delta=0.020000",bc_events_m0.2.csv
2.00086,REPORT_RX_RSU,"rsu=10,by=8,about=1,delta=-0.050000",bc_events_m0.2.csv
2.00127,REPORT_RX_RSU,"rsu=10,by=9,about=4,delta=0.020000",bc_events_m0.2.csv
2.00139,DATA_DROP_REPLAY,"rx=11,sender=0,nonce=1900000000",bc_events_m0.2.csv
2.00139,DATA_DROP_REPLAY,"rx=1,sender=0,nonce=1900000000",bc_events_m0.2.csv
2.00139,DATA_DROP_REPLAY,"rx=2,sender=0,nonce=1900000000",bc_events_m0.2.csv
2.00139,DATA_DROP_REPLAY,"rx=5,sender=0,nonce=1900000000",bc_events_m0.2.csv
2.00139,DATA_DROP_REPLAY,"rx=3,sender=0,nonce=1900000000",bc_events_m0.2.csv
2.00139,DATA_DROP_REPLAY,"rx=8,sender=0,nonce=1900000000",bc_events_m0.2.csv
2.00139,DATA_DROP_REPLAY,"rx=10,sender=0,nonce=1900000000",bc_events_m0.2.csv
2.00139,DATA_DROP_REPLAY,"rx=4,sender=0,nonce=1900000000",bc_events_m0.2.csv
2.00139,DATA_DROP_REPLAY,"rx=7,sender=0,nonce=1900000000",bc_events_m0.2.csv
2.00139,DATA_DROP_REPLAY,"rx=9,sender=0,nonce=1900000000",bc_events_m0.2.csv
2.00139,DATA_DROP_REPLAY,"rx=6,sender=0,nonce=1900000000",bc_events_m0.2.csv
2.00172,REPORT_RX_RSU,"rsu=10,by=1,about=3,delta=0.020000",bc_events_m0.2.csv
2.00182,DATA_RX_OK,"rx=11,sender=0,delay_s=0.001825",bc_events_m0.2.csv
2.00182,DATA_RX_OK,"rx=1,sender=0,delay_s=0.001825",bc_events_m0.2.csv
2.00182,DATA_RX_OK,"rx=2,sender=0,delay_s=0.001825",bc_events_m0.2.csv
2.00182,DATA_RX_OK,"rx=5,sender=0,delay_s=0.001825",bc_events_m0.2.csv
2.00182,DATA_RX_OK,"rx=3,sender=0,delay_s=0.001825",bc_events_m0.2.csv
2.00182,DATA_RX_OK,"rx=8,sender=0,delay_s=0.001825",bc_events_m0.2.csv
2.00182,DATA_RX_OK,"rx=10,sender=0,delay_s=0.001825",bc_events_m0.2.csv
2.00182,DATA_RX_OK,"rx=4,sender=0,delay_s=0.001825",bc_events_m0.2.csv
2.00183,DATA_RX_OK,"rx=7,sender=0,delay_s=0.001825",bc_events_m0.2.csv
2.00183,DATA_RX_OK,"rx=9,sender=0,delay_s=0.001825",bc_events_m0.2.csv
2.00183,DATA_RX_OK,"rx=6,sender=0,delay_s=0.001825",bc_events_m0.2.csv
2.00199,REPORT_RX_RSU,"rsu=10,by=7,about=2,delta=0.020000",bc_events_m0.2.csv
2.1,BLOCK_MINE_START,block_next=3,bc_events_m0.2.csv
2.10066,DATA_DROP_SIG,"rx=11,sender=0,nonce=2100000000",bc_events_m0.2.csv
2.10066,DATA_DROP_SIG,"rx=1,sender=0,nonce=2100000000",bc_events_m0.2.csv
2.10066,DATA_DROP_SIG,"rx=5,sender=0,nonce=2100000000",bc_events_m0.2.csv
2.10066,DATA_DROP_SIG,"rx=2,sender=0,nonce=2100000000",bc_events_m0.2.csv
2.10066,DATA_DROP_SIG,"rx=3,sender=0,nonce=2100000000",bc_events_m0.2.csv
2.10066,DATA_DROP_SIG,"rx=8,sender=0,nonce=2100000000",bc_events_m0.2.csv
2.10066,DATA_DROP_SIG,"rx=10,sender=0,nonce=2100000000",bc_events_m0.2.csv
2.10066,DATA_DROP_SIG,"rx=4,sender=0,nonce=2100000000",bc_events_m0.2.csv
2.10066,DATA_DROP_SIG,"rx=7,sender=0,nonce=2100000000",bc_events_m0.2.csv
2.10066,DATA_DROP_SIG,"rx=9,sender=0,nonce=2100000000",bc_events_m0.2.csv
2.10066,DATA_DROP_SIG,"rx=6,sender=0,nonce=2100000000",bc_events_m0.2.csv
2.15,BLOCK_COMMIT_ITEM,"accused=0,delta=0.020000,trust=0.740000",bc_events_m0.2.csv
2.15,BLOCK_COMMIT_ITEM,"accused=5,delta=-0.050000,trust=0.650000",bc_events_m0.2.csv
2.15,BLOCK_COMMIT_ITEM,"accused=7,delta=0.020000,trust=0.720000",bc_events_m0.2.csv
2.15,BLOCK_COMMIT_ITEM,"accused=1,delta=-0.050000,trust=0.650000",bc_events_m0.2.csv
2.15,BLOCK_COMMIT_ITEM,"accused=4,delta=0.020000,trust=0.740000",bc_events_m0.2.csv
2.15,BLOCK_COMMIT_ITEM,"accused=3,delta=0.020000,trust=0.740000",bc_events_m0.2.csv
2.15,BLOCK_COMMIT_ITEM,"accused=2,delta=0.020000,trust=0.760000",bc_events_m0.2.csv
2.15,BLOCK_COMMIT_DONE,"block=3,items=7,lat_s=0.050000",bc_events_m0.2.csv
2.20066,DATA_DROP_SIG,"rx=11,sender=0,nonce=2200000000",bc_events_m0.2.csv
2.20066,DATA_DROP_SIG,"rx=1,sender=0,nonce=2200000000",bc_events_m0.2.csv
2.20066,DATA_DROP_SIG,"rx=5,sender=0,nonce=2200000000",bc_events_m0.2.csv
2.20066,DATA_DROP_SIG,"rx=2,sender=0,nonce=2200000000",bc_events_m0.2.csv
2.20066,DATA_DROP_SIG,"rx=3,sender=0,nonce=2200000000",bc_events_m0.2.csv
2.20066,DATA_DROP_SIG,"rx=8,sender=0,nonce=2200000000",bc_events_m0.2.csv
2.20066,DATA_DROP_SIG,"rx=10,sender=0,nonce=2200000000",bc_events_m0.2.csv
2.20066,DATA_DROP_SIG,"rx=4,sender=0,nonce=2200000000",bc_events_m0.2.csv
2.20066,DATA_DROP_SIG,"rx=7,sender=0,nonce=2200000000",bc_events_m0.2.csv
2.20066,DATA_DROP_SIG,"rx=9,sender=0,nonce=2200000000",bc_events_m0.2.csv
2.20066,DATA_DROP_SIG,"rx=6,sender=0,nonce=2200000000",bc_events_m0.2.csv
2.3,REPLAY_SENT,nonce=2200000000,bc_events_m0.2.csv
2.30066,DATA_DROP_SIG,"rx=11,sender=0,nonce=2200000000",bc_events_m0.2.csv
2.30066,DATA_DROP_SIG,"rx=1,sender=0,nonce=2200000000",bc_events_m0.2.csv
2.30066,DATA_DROP_SIG,"rx=5,sender=0,nonce=2200000000",bc_events_m0.2.csv
2.30066,DATA_DROP_SIG,"rx=2,sender=0,nonce=2200000000",bc_events_m0.2.csv
2.30066,DATA_DROP_SIG,"rx=3,sender=0,nonce=2200000000",bc_events_m0.2.csv
2.30066,DATA_DROP_SIG,"rx=8,sender=0,nonce=2200000000",bc_events_m0.2.csv
2.30066,DATA_DROP_SIG,"rx=10,sender=0,nonce=2200000000",bc_events_m0.2.csv
2.30066,DATA_DROP_SIG,"rx=4,sender=0,nonce=2200000000",bc_events_m0.2.csv
2.30066,DATA_DROP_SIG,"rx=7,sender=0,nonce=2200000000",bc_events_m0.2.csv
2.30066,DATA_DROP_SIG,"rx=9,sender=0,nonce=2200000000",bc_events_m0.2.csv
2.30066,DATA_DROP_SIG,"rx=6,sender=0,nonce=2200000000",bc_events_m0.2.csv
2.30104,DATA_RX_OK,"rx=11,sender=0,delay_s=0.001041",bc_events_m0.2.csv
2.30104,DATA_RX_OK,"rx=1,sender=0,delay_s=0.001041",bc_events_m0.2.csv
2.30104,DATA_RX_OK,"rx=5,sender=0,delay_s=0.001041",bc_events_m0.2.csv
2.30104,DATA_RX_OK,"rx=2,sender=0,delay_s=0.001041",bc_events_m0.2.csv
2.30104,DATA_RX_OK,"rx=3,sender=0,delay_s=0.001041",bc_events_m0.2.csv
2.30104,DATA_RX_OK,"rx=8,sender=0,delay_s=0.001041",bc_events_m0.2.csv
2.30104,DATA_RX_OK,"rx=10,sender=0,delay_s=0.001041",bc_events_m0.2.csv
2.30104,DATA_RX_OK,"rx=4,sender=0,delay_s=0.001041",bc_events_m0.2.csv
2.30104,DATA_RX_OK,"rx=7,sender=0,delay_s=0.001041",bc_events_m0.2.csv
2.30104,DATA_RX_OK,"rx=9,sender=0,delay_s=0.001041",bc_events_m0.2.csv
2.30104,DATA_RX_OK,"rx=6,sender=0,delay_s=0.001041",bc_events_m0.2.csv
2.40066,DATA_RX_OK,"rx=11,sender=0,delay_s=0.000662",bc_events_m0.2.csv
2.40066,DATA_RX_OK,"rx=1,sender=0,delay_s=0.000662",bc_events_m0.2.csv
2.40066,DATA_RX_OK,"rx=5,sender=0,delay_s=0.000662",bc_events_m0.2.csv
2.40066,DATA_RX_OK,"rx=2,sender=0,delay_s=0.000662",bc_events_m0.2.csv
2.40066,DATA_RX_OK,"rx=3,sender=0,delay_s=0.000662",bc_events_m0.2.csv
2.40066,DATA_RX_OK,"rx=8,sender=0,delay_s=0.000662",bc_events_m0.2.csv
2.40066,DATA_RX_OK,"rx=10,sender=0,delay_s=0.000662",bc_events_m0.2.csv
2.40066,DATA_RX_OK,"rx=4,sender=0,delay_s=0.000662",bc_events_m0.2.csv
2.40066,DATA_RX_OK,"rx=7,sender=0,delay_s=0.000662",bc_events_m0.2.csv
2.40066,DATA_RX_OK,"rx=9,sender=0,delay_s=0.000662",bc_events_m0.2.csv
2.40066,DATA_RX_OK,"rx=6,sender=0,delay_s=0.000662",bc_events_m0.2.csv
2.50066,DATA_RX_OK,"rx=11,sender=0,delay_s=0.000662",bc_events_m0.2.csv
2.50066,DATA_RX_OK,"rx=1,sender=0,delay_s=0.000662",bc_events_m0.2.csv
2.50066,DATA_RX_OK,"rx=5,sender=0,delay_s=0.000662",bc_events_m0.2.csv
2.50066,DATA_RX_OK,"rx=2,sender=0,delay_s=0.000662",bc_events_m0.2.csv
2.50066,DATA_RX_OK,"rx=3,sender=0,delay_s=0.000662",bc_events_m0.2.csv
2.50066,DATA_RX_OK,"rx=8,sender=0,delay_s=0.000662",bc_events_m0.2.csv
2.50066,DATA_RX_OK,"rx=10,sender=0,delay_s=0.000662",bc_events_m0.2.csv
2.50066,DATA_RX_OK,"rx=4,sender=0,delay_s=0.000662",bc_events_m0.2.csv
2.50066,DATA_RX_OK,"rx=7,sender=0,delay_s=0.000662",bc_events_m0.2.csv
2.50066,DATA_RX_OK,"rx=9,sender=0,delay_s=0.000662",bc_events_m0.2.csv
2.50066,DATA_RX_OK,"rx=6,sender=0,delay_s=0.000662",bc_events_m0.2.csv
2.6,REPLAY_SENT,nonce=2500000000,bc_events_m0.2.csv
2.60066,DATA_DROP_REPLAY,"rx=11,sender=0,nonce=2500000000",bc_events_m0.2.csv
2.60066,DATA_DROP_REPLAY,"rx=1,sender=0,nonce=2500000000",bc_events_m0.2.csv
2.60066,DATA_DROP_REPLAY,"rx=5,sender=0,nonce=2500000000",bc_events_m0.2.csv
2.60066,DATA_DROP_REPLAY,"rx=2,sender=0,nonce=2500000000",bc_events_m0.2.csv
2.60066,DATA_DROP_REPLAY,"rx=3,sender=0,nonce=2500000000",bc_events_m0.2.csv
2.60066,DATA_DROP_REPLAY,"rx=8,sender=0,nonce=2500000000",bc_events_m0.2.csv
2.60066,DATA_DROP_REPLAY,"rx=10,sender=0,nonce=2500000000",bc_events_m0.2.csv
2.60066,DATA_DROP_REPLAY,"rx=4,sender=0,nonce=2500000000",bc_events_m0.2.csv
2.60066,DATA_DROP_REPLAY,"rx=7,sender=0,nonce=2500000000",bc_events_m0.2.csv
2.60066,DATA_DROP_REPLAY,"rx=9,sender=0,nonce=2500000000",bc_events_m0.2.csv
2.60066,DATA_DROP_REPLAY,"rx=6,sender=0,nonce=2500000000",bc_events_m0.2.csv
2.60101,DATA_RX_OK,"rx=11,sender=0,delay_s=0.001005",bc_events_m0.2.csv
2.60101,DATA_RX_OK,"rx=1,sender=0,delay_s=0.001005",bc_events_m0.2.csv
2.60101,DATA_RX_OK,"rx=5,sender=0,delay_s=0.001005",bc_events_m0.2.csv
2.60101,DATA_RX_OK,"rx=2,sender=0,delay_s=0.001005",bc_events_m0.2.csv
2.60101,DATA_RX_OK,"rx=3,sender=0,delay_s=0.001005",bc_events_m0.2.csv
2.60101,DATA_RX_OK,"rx=8,sender=0,delay_s=0.001005",bc_events_m0.2.csv
2.60101,DATA_RX_OK,"rx=10,sender=0,delay_s=0.001005",bc_events_m0.2.csv
2.60101,DATA_RX_OK,"rx=4,sender=0,delay_s=0.001005",bc_events_m0.2.csv
2.60101,DATA_RX_OK,"rx=7,sender=0,delay_s=0.001005",bc_events_m0.2.csv
2.60101,DATA_RX_OK,"rx=9,sender=0,delay_s=0.001005",bc_events_m0.2.csv
2.60101,DATA_RX_OK,"rx=6,sender=0,delay_s=0.001005",bc_events_m0.2.csv
2.70066,DATA_DROP_SIG,"rx=11,sender=0,nonce=2700000000",bc_events_m0.2.csv
2.70066,DATA_DROP_SIG,"rx=1,sender=0,nonce=2700000000",bc_events_m0.2.csv
2.70066,DATA_DROP_SIG,"rx=5,sender=0,nonce=2700000000",bc_events_m0.2.csv
2.70066,DATA_DROP_SIG,"rx=2,sender=0,nonce=2700000000",bc_events_m0.2.csv
2.70066,DATA_DROP_SIG,"rx=3,sender=0,nonce=2700000000",bc_events_m0.2.csv
2.70066,DATA_DROP_SIG,"rx=8,sender=0,nonce=2700000000",bc_events_m0.2.csv
2.70066,DATA_DROP_SIG,"rx=10,sender=0,nonce=2700000000",bc_events_m0.2.csv
